owner;name;full_name;repo_url;api_url;default_branch;created_at;updated_at;has_pipeline;yaml_files_content
wzqjava;MVVMSmart;wzqjava/MVVMSmart;https://github.com/wzqjava/MVVMSmart;https://api.github.com/repos/wzqjava/MVVMSmart;MVVMSmart-kotlin;18/12/2019 09:05;04/04/2024 04:55;FALSE;
Rapsssito;react-native-background-actions;Rapsssito/react-native-background-actions;https://github.com/Rapsssito/react-native-background-actions;https://api.github.com/repos/Rapsssito/react-native-background-actions;master;14/01/2020 19:59;21/04/2024 15:07;TRUE;"name: Tests

on:
  pull_request:
    branches:
      - master

jobs:
  build:
    name: CI
    runs-on: ubuntu-18.04
    steps:
    - uses: actions/checkout@v1
    - name: CI
      run: yarn ci

---
name: Release

on:
  workflow_dispatch:
  push:
    branches:
      - master

jobs:
  release:
    name: Release
    runs-on: ubuntu-22.04
    steps:
      - name: Checkout
        uses: actions/checkout@v1
      - name: Setup Node.js
        uses: actions/setup-node@v1
        with:
          node-version: 12
      - name: CI
        run: yarn ci
      - name: Release
        env:
          GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
          NPM_TOKEN: ${{ secrets.NPM_TOKEN }}
        run: npx semantic-release

---
"
WangJi92;arthas-idea-plugin;WangJi92/arthas-idea-plugin;https://github.com/WangJi92/arthas-idea-plugin;https://api.github.com/repos/WangJi92/arthas-idea-plugin;master;21/12/2019 15:20;12/04/2024 10:35;FALSE;
moxi624;LearningNotes;moxi624/LearningNotes;https://github.com/moxi624/LearningNotes;https://api.github.com/repos/moxi624/LearningNotes;master;22/12/2019 08:03;20/04/2024 16:54;FALSE;
KdotJPG;OpenSimplex2;KdotJPG/OpenSimplex2;https://github.com/KdotJPG/OpenSimplex2;https://api.github.com/repos/KdotJPG/OpenSimplex2;master;22/12/2019 16:54;22/04/2024 10:13;FALSE;
AndreyPavlenko;Fermata;AndreyPavlenko/Fermata;https://github.com/AndreyPavlenko/Fermata;https://api.github.com/repos/AndreyPavlenko/Fermata;master;23/12/2019 20:14;22/04/2024 09:36;FALSE;
guang19;framework-learning;guang19/framework-learning;https://github.com/guang19/framework-learning;https://api.github.com/repos/guang19/framework-learning;dev;24/12/2019 07:42;19/04/2024 03:52;FALSE;
rosehgal;TrashEmail;rosehgal/TrashEmail;https://github.com/rosehgal/TrashEmail;https://api.github.com/repos/rosehgal/TrashEmail;master;07/05/2020 11:01;17/04/2024 13:08;TRUE;"# This workflow will build a package using Maven and then publish it to GitHub packages when a release is created
# For more information see: https://github.com/actions/setup-java#apache-maven-with-a-settings-path

name: Publish package to GitHub Packages
on:
  release:
    types: [created]
jobs:
  publish:
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v2
      - uses: actions/setup-java@v1
        with:
          java-version: 1.8
      - name: Publish package
        run: mvn -B deploy
        env:
          GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}

---
"
jiayaoO3O;18-comic-finder;jiayaoO3O/18-comic-finder;https://github.com/jiayaoO3O/18-comic-finder;https://api.github.com/repos/jiayaoO3O/18-comic-finder;master;16/02/2021 07:38;22/04/2024 13:30;TRUE;"# This workflow will build a Java project with Maven
# For more information see: https://help.github.com/actions/language-and-framework-guides/building-and-testing-java-with-maven

name: Java CI with Maven

on:
  push:
    branches: [ master ]
    paths:
      - 'src/main/resources/*.json'

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
      - name: 签出代码
        uses: actions/checkout@v3.3.0
      - name: 初始化JDK
        uses: actions/setup-java@v3.5.1
        with:
          java-version: '19'
          distribution: 'temurin'
      - name: 开始打包
        run: |
          mvn -B clean package -Dmaven.test.skip=true --file pom.xml -T 4
      - name: 开始下载
        run: |
          cd ./target
          java -jar -Xms1g -Xmx7g ./*.jar
      - name: 开始上传
        uses: actions/upload-artifact@v3.1.2
        with:
          # Artifact name
          name: finder-result
          # A file, directory or wildcard pattern that describes what to upload
          path: /home/runner/work/finder
          # The desired behavior if no files are found using the provided path.
          if-no-files-found: warn
          # Duration after which artifact will expire in days. 0 means using default retention.Minimum 1 day. Maximum 90 days unless changed from the repository settings page.
          retention-days: 90

---
"
Han-YLun;SaaS_IHRM;Han-YLun/SaaS_IHRM;https://github.com/Han-YLun/SaaS_IHRM;https://api.github.com/repos/Han-YLun/SaaS_IHRM;master;29/12/2019 16:06;19/04/2024 17:24;FALSE;
tyron12233;CodeAssist;tyron12233/CodeAssist;https://github.com/tyron12233/CodeAssist;https://api.github.com/repos/tyron12233/CodeAssist;main;16/08/2021 13:30;22/04/2024 08:29;TRUE;"name: Android Tests CI

on:
  workflow_dispatch:
  push:
    branches: [ javac-17 ]
  pull_request:
    branches: [ javac-17 ]

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
    - uses: actions/checkout@v2
    - name: set up JDK 11
      uses: actions/setup-java@v2
      with:
        java-version: '11'
        distribution: 'adopt'
        cache: gradle

    - name: Grant execute permission for gradlew
      run: chmod +x gradlew
    - name: Build with Gradle
      run: ./gradlew test

---
name: Android CI

on:
  pull_request:
  workflow_dispatch:

jobs:
  build:
    name: Build debug apk
    runs-on: ubuntu-latest
    steps:
      - name: Cancel previous runs
        uses: styfle/cancel-workflow-action@0.5.0
        with:
          access_token: ${{ github.token }}

      - uses: actions/checkout@v2
    
      - name: set up JDK 11
        uses: actions/setup-java@v2
        with:
          java-version: '11'
          distribution: 'adopt'
          cache: gradle

      - name: Grant execute permission for gradlew
        run: chmod +x gradlew

      - name: Build debug apk
        uses: eskatos/gradle-command-action@v1
        with:
          arguments: assembleDebug
          distributions-cache-enabled: true
          dependencies-cache-enabled: true
          configuration-cache-enabled: true

      - name: Upload debug apk
        uses: actions/upload-artifact@v2
        with:
          name: apk-debug
          path: app/build/outputs/apk/debug

---
"
TencentFemas;femas;TencentFemas/femas;https://github.com/TencentFemas/femas;https://api.github.com/repos/TencentFemas/femas;develop;22/02/2022 07:17;31/03/2024 16:25;TRUE;"name: build & test

on:
  push:
    branches:
      - develop
  pull_request:
    branches:
      - develop

jobs:
  build:
    name: build & test
    runs-on: ubuntu-latest
    services:
      etcd:
        image: gcr.io/etcd-development/etcd:v3.5.0
        ports:
          - 2379:2379
        env:
          ETCD_LISTEN_CLIENT_URLS: http://0.0.0.0:2379
          ETCD_ADVERTISE_CLIENT_URLS: http://0.0.0.0:2379
      consul:
        image: consul:latest
        ports:
          - 8500:8500
      nacos:
        image: nacos/nacos-server:latest
        env:
          MODE: standalone
        ports:
          - ""8848:8848""
          - ""9848:9848""
      polaris:
        image: polarismesh/polaris-server-standalone:latest
        ports:
          - 8090:8090
          - 8091:8091
      eureka:
        image: huyuanxin/eureka-server:3.1.2
        ports:
          - 8761:8761
    steps:
      - name: checkout
        uses: actions/checkout@v2

      - name: Set up Java jdk
        uses: actions/setup-java@v3
        with:
          java-version: '8'
          distribution: 'temurin'
          settings-path: ${{ github.workspace }}

      - name: test
        run: mvn test

      - name: build
        run: mvn -Dmaven.test.skip=true clean install -U
---
"
ouchuangxin;leave-sample;ouchuangxin/leave-sample;https://github.com/ouchuangxin/leave-sample;https://api.github.com/repos/ouchuangxin/leave-sample;master;31/12/2019 03:43;22/04/2024 07:56;FALSE;
Aizistral-Studios;No-Chat-Reports;Aizistral-Studios/No-Chat-Reports;https://github.com/Aizistral-Studios/No-Chat-Reports;https://api.github.com/repos/Aizistral-Studios/No-Chat-Reports;1.20-Unified;17/06/2022 14:43;19/04/2024 03:36;TRUE;"# Automatically build the project and run any configured tests for every push
# and submitted pull request. This can help catch issues that only occur on
# certain platforms or Java versions, and provides a first line of defence
# against bad commits.

name: Build
on: [pull_request, push]

jobs:
  build:
    strategy:
      matrix:
        java: [ 17 ]
        os: [ubuntu-22.04, windows-2022]
    runs-on: ${{ matrix.os }}
    steps:
      - name: Checkout repository
        uses: actions/checkout@v3
      - name: Validate gradle wrapper
        uses: gradle/wrapper-validation-action@v1
      - name: Setup JDK ${{ matrix.java }}
        uses: actions/setup-java@v3
        with:
          distribution: 'temurin'
          java-version: ${{ matrix.java }}
      - name: Make gradle wrapper executable
        if: ${{ runner.os != 'Windows' }}
        run: chmod +x ./gradlew
      - name: Build the mod
        run: ./gradlew build
      - name: Upload build artifacts
        if: ${{ runner.os == 'Linux' && matrix.java == '17' }} # Only upload artifacts from one OS and required JDK.
        uses: actions/upload-artifact@v3
        with:
          name: Artifacts
          path: |
            build/libs/
            forge/build/libs/
---
name: Gitlab Sync

on:
  - push
  - delete

jobs:
  sync:
    runs-on: ubuntu-22.04
    name: Git Repo Sync
    steps:
    - uses: actions/checkout@v3
      with:
        fetch-depth: 0
    - uses: wangchucheng/git-repo-sync@v0.1.0
      with:
        target-url: ${{ secrets.TARGET_URL }}
        target-username: ${{ secrets.TARGET_USERNAME }}
        target-token: ${{ secrets.TARGET_TOKEN }}

---
"
REAndroid;APKEditor;REAndroid/APKEditor;https://github.com/REAndroid/APKEditor;https://api.github.com/repos/REAndroid/APKEditor;master;09/12/2022 19:55;21/04/2024 17:55;TRUE;"name: Build Jar

on:
  push:
    branches: [ ""master"" ]
  pull_request:
    branches: [ ""master"" ]

permissions:
  contents: read

jobs:
  build:

    runs-on: ubuntu-latest

    steps:
      - uses: actions/checkout@v3
      - name: Set up JDK 8
        uses: actions/setup-java@v3
        with:
          java-version: '8'
          distribution: 'temurin'
      - name: Build with Gradle
        uses: gradle/gradle-build-action@67421db6bd0bf253fb4bd25b31ebb98943c375e1
        with:
          arguments: fatJar
      - uses: actions/upload-artifact@v3
        with:
          name: APKEditor
          path: build/libs

---
"
LillteZheng;FlowHelper;LillteZheng/FlowHelper;https://github.com/LillteZheng/FlowHelper;https://api.github.com/repos/LillteZheng/FlowHelper;feature_3.0;02/01/2020 09:11;02/04/2024 19:45;FALSE;
niefy;wx-api;niefy/wx-api;https://github.com/niefy/wx-api;https://api.github.com/repos/niefy/wx-api;master;02/01/2020 10:09;21/04/2024 16:33;FALSE;
apache;incubator-fury;apache/incubator-fury;https://github.com/apache/incubator-fury;https://api.github.com/repos/apache/incubator-fury;main;28/04/2023 05:57;22/04/2024 07:16;TRUE;"# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# ""License""); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.

name: Fury CI

on:
  push:
    branches:
      - main
      - 'releases/**'
      - 'deploy/**'
      - 'test*'
    tags:
      - v*
  pull_request:
    paths-ignore:
      - '**/*.md'
      - 'docs/**'
      - 'LICENSE'
      - '.vscode/**'
      - '.gitignore'
      - 'licenses/**'
      - 'DISCLAIMER'
      - 'NOTICE'
    types: ['opened', 'reopened', 'synchronize']

jobs:
  java:
    name: Java CI
    runs-on: ubuntu-latest
    env:
      MY_VAR: ""PATH""
    strategy:
      matrix:
        java-version: [""8"", ""11"", ""17"", ""21""]
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK ${{ matrix.java-version }}
        uses: actions/setup-java@v4
        with:
          java-version: ${{ matrix.java-version }}
          distribution: 'temurin'
      - name: Install bazel
        run: ./ci/run_ci.sh install_bazel
      - name: Install python
        run: ./ci/run_ci.sh install_python
      - name: Install pyfury
        run: ./ci/run_ci.sh install_pyfury
      - name: Run CI with Maven
        run: ./ci/run_ci.sh java${{ matrix.java-version }}
  openj9:
    name: Openj9 Java CI
    runs-on: ubuntu-latest
    env:
      MY_VAR: ""PATH""
    strategy:
      matrix:
        # String in openj9 1.8 share byte array by offset, fury doesn't allow it.
        java-version: [""21""]
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK ${{ matrix.java-version }}
        uses: actions/setup-java@v4
        with:
          java-version: ${{ matrix.java-version }}
          distribution: 'adopt-openj9'
      - name: Install bazel
        run: ./ci/run_ci.sh install_bazel
      - name: Install python
        run: ./ci/run_ci.sh install_python
      - name: Install pyfury
        run: ./ci/run_ci.sh install_pyfury
      - name: Run CI with Maven
        run: ./ci/run_ci.sh java${{ matrix.java-version }}
  graalvm:
    name: GraalVM CI
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v4
      - uses: graalvm/setup-graalvm@v1
        with:
          java-version: '21'
          distribution: 'graalvm'
          github-token: ${{ secrets.GITHUB_TOKEN }}
          native-image-job-reports: 'true'
      - name: Build native image and run
        run: ./ci/run_ci.sh graalvm_test

  scala:
    name: Scala CI
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK8
        uses: actions/setup-java@v4
        with:
          java-version: 8
          distribution: 'temurin'
      - name: Install fury java
        run: cd java && mvn -T10 --no-transfer-progress clean install -DskipTests && cd -
      - name: Test
        run: |
          # Avoid sbt download jackson-databind error
          rm -rf /home/runner/.m2/repository/com/fasterxml/jackson/
          cd scala && sbt +test && cd -

  integration_tests:
    name: Integration Tests
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK8
        uses: actions/setup-java@v4
        with:
          java-version: 8
          distribution: 'temurin'
      - name: Run CI
        run: ./ci/run_ci.sh integration_tests

  javascript:
    name: JavaScript CI
    strategy:
      matrix:
        node-version: [14.x, 16.x, 18.x, 20.x]
        os: [ubuntu-latest, macos-13, windows-2022]
    runs-on: ${{ matrix.os }}
    steps:
      - uses: actions/checkout@v4
      - name: Use Node.js ${{ matrix.node-version }}
        uses: actions/setup-node@v4
        with:
          node-version: ${{ matrix.node-version }}
      - name: Upgrade npm
        run: npm install -g npm@8
      # node-gyp needs to use python and relies on the distutils module.
      # The distutils module has been removed starting from python 3.12
      # (see https://docs.python.org/3.10/library/distutils.html). Some
      # OS (such as macos -latest) uses python3.12 by default, so python 3.8
      # is used here to avoid this problem.
      - name: Set up Python3.8
        uses: actions/setup-python@v5
        with:
          python-version: 3.8
      - name: Run CI with NodeJS
        run: python ./ci/run_ci.py javascript

  rust:
    name: Rust CI
    strategy:
      matrix:
        os: [ubuntu-latest, macos-12, macos-14] # macos-12: x86, macos-14: arm64
    runs-on: ${{ matrix.os }}
    timeout-minutes: 45
    steps:
      - uses: actions/checkout@v4
      - name: Set up Python 3.11
        uses: actions/setup-python@v5
        with:
          python-version: 3.11
      - uses: dtolnay/rust-toolchain@nightly
      - name: Run Rust CI
        run: python ./ci/run_ci.py rust

  cpp:
    name: C++ CI
    strategy:
      matrix:
        os: [ubuntu-latest, macos-12, macos-14] # macos-12: x86, macos-14: arm64
    runs-on: ${{ matrix.os }}
    steps:
      - uses: actions/checkout@v4
      - name: Set up Python 3.11
        uses: actions/setup-python@v5
        with:
          python-version: 3.11
      - name: Run C++ CI with Bazel
        run: python ./ci/run_ci.py cpp
  python:
    name: Python CI
    # Fix python 3.6 install issue, see
    # https://github.com/rwth-i6/returnn/commit/38ecab17d781c4b74db6a174c8097187380b4ddc
    runs-on: ubuntu-20.04
    strategy:
      matrix:
        python-version: [3.7, 3.12]
    steps:
      - uses: actions/checkout@v4
      - name: Set up Python ${{ matrix.python-version }}
        uses: actions/setup-python@v5
        with:
          python-version: ${{ matrix.python-version }}
      - name: Install bazel
        run: ./ci/run_ci.sh install_bazel
      - name: Run Python CI
        run: ./ci/run_ci.sh python

  go:
    name: Golang CI
    runs-on: ubuntu-latest
    strategy:
      matrix:
        go-version: [ '1.13', '1.18' ]
    steps:
      - uses: actions/checkout@v4
      - name: Setup Go ${{ matrix.go-version }}
        uses: actions/setup-go@v4
        with:
          go-version: ${{ matrix.go-version }}
      - name: Display Go version
        run: go version
      - name: Install bazel
        run: ./ci/run_ci.sh install_bazel
      - name: Install python
        run: ./ci/run_ci.sh install_python
      - name: Install pyfury
        run: ./ci/run_ci.sh install_pyfury
      - name: Run Golang CI
        run: ./ci/run_ci.sh go

  lint:
    name: Code Style Check
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v4
      - name: Set up JDK ${{ matrix.java-version }}
        uses: actions/setup-java@v4
        with:
          java-version: 21
          distribution: 'oracle'
      - name: Check License Header
        uses: korandoru/hawkeye@v3
      - name: Set up Python 3.8
        uses: actions/setup-python@v5
        with:
          python-version: 3.8
      - name: Check code style
        run: ./ci/run_ci.sh format

---
# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# ""License""); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.

name: ""Lint PR""

on:
  pull_request_target:
    types:
      - opened
      - edited
      - synchronize

permissions:
  pull-requests: read

jobs:
  main:
    name: Validate PR title
    runs-on: ubuntu-latest
    steps:
      - uses: amannn/action-semantic-pull-request@v5
        env:
          GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
        with:
          # Configure which types are allowed (newline-delimited).
          # Default: https://github.com/commitizen/conventional-commit-types
          types: |
            fix
            feat
            build
            chore
            ci
            docs
            perf
            refactor
            revert
            style
            test
          # Configure which scopes are allowed (newline-delimited).
          # These are regex patterns auto-wrapped in `^ $`.
          scopes: |
            \S+
          # Configure that a scope must always be provided.
          requireScope: false
          # Configure which scopes are disallowed in PR titles (newline-delimited).
          # For instance by setting the value below, `chore(release): ...` (lowercase)
          # and `ci(e2e,release): ...` (unknown scope) will be rejected.
          # These are regex patterns auto-wrapped in `^ $`.
          # disallowScopes: |
          #   release
          #   [A-Z]+
          # Configure additional validation for the subject based on a regex.
          # This example ensures the subject doesn't start with an uppercase character.
          # subjectPattern: ^(?![A-Z]).+$
          # If `subjectPattern` is configured, you can use this property to override
          # the default error message that is shown when the pattern doesn't match.
          # The variables `subject` and `title` can be used within the message.
          # subjectPatternError: |
          #   The subject ""{subject}"" found in the pull request title ""{title}""
          #   didn't match the configured pattern. Please ensure that the subject
          #   doesn't start with an uppercase character.
          # The GitHub base URL will be automatically set to the correct value from the GitHub context variable.
          # If you want to override this, you can do so here (not recommended).
          # githubBaseUrl: https://github.myorg.com/api/v3
          # If the PR contains one of these newline-delimited labels, the
          # validation is skipped. If you want to rerun the validation when
          # labels change, you might want to use the `labeled` and `unlabeled`
          # event triggers in your workflow.
          ignoreLabels: |
            ignore-semantic-pull-request
          # If you're using a format for the PR title that differs from the traditional Conventional
          # Commits spec, you can use these options to customize the parsing of the type, scope and
          # subject. The `headerPattern` should contain a regex where the capturing groups in parentheses
          # correspond to the parts listed in `headerPatternCorrespondence`.
          # See: https://github.com/conventional-changelog/conventional-changelog/tree/master/packages/conventional-commits-parser#headerpattern
          # headerPattern: '^(\w*)(?:\(([\w$.\-*/ ]*)\))?: (.*)$'
          # headerPatternCorrespondence: type, scope, subject

---
# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# ""License""); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.

name: Publish Fury Java Snapshot

on:
  push:
    branches:
      - main
      - release-java-snapshot

jobs:
  publish-java:
    runs-on: ubuntu-latest
    if: github.repository == 'apache/incabator-fury'
    steps:
      - uses: actions/checkout@v4
      - name: Set up Maven Central Repository
        uses: actions/setup-java@v4
        with:
          java-version: '8'
          distribution: 'adopt'
          architecture: x64
          cache: maven
          server-id: apache.snapshots.https
          server-username: NEXUS_USERNAME
          server-password: NEXUS_PASSWORD
      - name: Publish Fury Java Snapshot
        run: cd java && mvn deploy -Dgpg.skip -DskipTests -Papache-release
        env:
          NEXUS_USERNAME: ${{ secrets.NEXUS_USER }}
          NEXUS_PASSWORD: ${{ secrets.NEXUS_PW }}

---
# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# ""License""); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.

name: Publish Fury

on:
  push:
    tags:
      - 'v*'

jobs:
  release-python:
    name: Publish Fury Python to PyPI
    runs-on: ubuntu-20.04
    if: github.repository == 'apache/incubator-fury'
    environment:
      name: pypi
      url: https://pypi.org/project/pyfury
    strategy:
      matrix:
        python-version: [3.7, 3.8, 3.9, 3.10.12, 3.11, 3.12]
    steps:
      - uses: actions/checkout@v4
      - name: Set up Python ${{ matrix.python-version }}
        uses: actions/setup-python@v5
        with:
          python-version: ${{ matrix.python-version }}
      - name: Install bazel
        run: ./ci/run_ci.sh install_bazel
      - name: Update version in setup.py
        run: |
          echo ""GITHUB_REF: $GITHUB_REF"" 
          tag=$(echo $GITHUB_REF | cut -d / -f 3)
          echo ""tag: $tag""
          version=${tag:1}
          echo ""version $version""
          ci/deploy.sh bump_py_version $version
      - name: Build a binary wheel
        run: |
          ci/deploy.sh install_pyarrow
          pip install setuptools wheel Cython numpy pytest
          cd python
          pip list
          export PATH=~/bin:$PATH
          echo ""Build pyfury""
          python setup.py bdist_wheel --dist-dir=../dist
          ../ci/deploy.sh rename_linux_wheels $PWD/../dist
      - name: Publish wheel to PyPI
        uses: pypa/gh-action-pypi-publish@release/v1
        with:
          user: __token__
          password: ${{ secrets.PYPI_API_TOKEN }}
          packages-dir: dist

---
# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# ""License""); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.

name: Sync Files

on:
  push:
    branches: 
      - main

jobs:
  sync:
    runs-on: ubuntu-latest    
    steps:    
      - uses: actions/checkout@v4
      - name: Sync files
        uses: BetaHuhn/repo-file-sync-action@v1
        with:
          GH_PAT: ${{ secrets.GH_PAT }}
          SKIP_PR: true 

---
"
88250;symphony;88250/symphony;https://github.com/88250/symphony;https://api.github.com/repos/88250/symphony;master;01/12/2019 11:34;22/04/2024 03:09;TRUE;"name: Build Test
on:
  push:
    branches:
      - master
jobs:
  build:
    runs-on: ubuntu-latest
    steps:
      - uses: actions/checkout@v2
      - uses: actions/setup-java@v2
        with:
          distribution: 'adopt'
          java-version: '11'
          cache: 'maven'
      - name: Build with Maven
        run: |
          mvn install -DskipTests=true -Dmaven.javadoc.skip=true -B -V -Pci -DskipAssembly

---
name: Docker Image CI
on: 
  push:
    branches:
      - master
jobs:
  build:
    runs-on: ubuntu-latest
    steps:
    - uses: actions/checkout@master
    - name: Build the Docker image
      run: |
        docker login --username=${{ secrets.DOCKER_HUB_USER }} --password=${{ secrets.DOCKER_HUB_PWD }}
        docker build -t b3log/symphony:latest .
        docker push b3log/symphony

---
"
